"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2012-05-25,"PacNW Blue B00",0,"Normandy Park FC White B00",8,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-25,"WA Rush Swoosh B00",1,"PacNW Maroon B00",7,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-26,"Crossfire Premier B B00",12,"WA Rush Swoosh B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-05-26,"Normandy Park FC White B00",4,"WA Rush Nike B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-26,"PacNW Maroon B00",1,"Crossfire Premier B B00",8,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-05-26,"WA Rush Nike B00",10,"PacNW Blue B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"Crossfire Premier B B00",0,"WA Rush Nike B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"Normandy Park FC White B00",4,"PacNW Maroon B00",0,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"PacNW Maroon B00",7,"PacNW Blue B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-27,"WA Rush Nike B00",5,"WA Rush Swoosh B00",1,"PacNW Memorial Cup 2012","neutral","neutral","Grass"
2012-05-28,"Normandy Park FC White B00",0,"WA Rush Nike B00",2,"PacNW Memorial Cup 2012","neutral","neutral","Turf"
2012-06-08,"WPFC Navy B00",1,"Westsound FC Red B00",5,"Rainer Challenge Copa","neutral","neutral","Unk"
2012-06-08,"Tacoma United Pumas B00",3,"PacNW Blue B00",2,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-08,"Crossfire Premier A B01",5,"Seattle United Samba B00",1,"Rainer Challenge Copa","neutral","neutral","Grass"
2012-06-08,"Crossfire Premier B B00",10,"PacNW Maroon B00",0,"Rainer Challenge Samba","neutral","neutral","Unk"
2012-06-08,"WPFC Black B00",2,"Seattle United Tango B00",0,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"Seattle United Copa B00",0,"Crossfire Premier A B00",3,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"WA Rush Nike B00",2,"WPFC White B00",0,"Rainer Challenge Samba","neutral","neutral","Grass"
2012-06-08,"Snohomish United Black B00",0,"Crossfire Premier C B00",0,"Snohomish United Invitational","neutral","neutral","Grass"
